Unnamed: 0,title,date,stock,sentiment_label,sentiment_score,sentiment_scalar,event_type,entity_a,entity_b,event_confidence
4067,American Pie,2020-06-02 00:00:00,AAPL,Neutral,0.9971862435340881,0.0,Analyst Rating,AAPL,,0.5
4068,Tech Giants Dare Antitrust Deal Watchdogs,2020-06-02 00:00:00,AAPL,Neutral,0.9786171317100525,0.0,Analyst Rating,AAPL,,0.5
4069,MoneyGram Shares Jump 50% As Western Union Reportedly Looks For Acquisition,2020-06-02 00:00:00,AAPL,Neutral,0.9997913241386414,0.0,Stock Movement,AAPL,,0.5
4070,All Eyes on Market Volatility,2020-06-01 00:00:00,AAPL,Neutral,0.9974072575569153,0.0,Stock Movement,AAPL,,0.5
4071,Warren Buffett's Berkshire Hathaway Turns Up Stake in Liberty SiriusXM,2020-06-01 00:00:00,AAPL,Neutral,0.9996910095214844,0.0,Stock Movement,AAPL,,0.5
4072,COVID 2.0?,2020-06-01 00:00:00,AAPL,Neutral,0.9985509514808655,0.0,Analyst Rating,AAPL,,0.5
4073,"Apple CEO Writes To Employees About George Floyd Death, Urges For 'Better, More Just World For Everyone'",2020-05-31 00:00:00,AAPL,Neutral,0.9963580965995789,0.0,Stock Movement,AAPL,,0.5
4074,"First the Deflationary Deluge of Assets Crashing, Then the Tsunami of Inflation",2020-05-31 00:00:00,AAPL,Neutral,0.9997997879981995,0.0,Macroeconomic,AAPL,,0.5
4075,"Market Briefing For Monday, June 1",2020-05-31 00:00:00,AAPL,Neutral,0.9984219074249268,0.0,Macroeconomic,AAPL,,0.5
4076,Five Monster Stock Market Predictions For The Week Of June 1,2020-05-31 00:00:00,AAPL,Neutral,0.9966193437576294,0.0,Stock Movement,AAPL,,0.5
4077,Buybacks Are Back: Here's Who Is Repurchasing The Most Stocks,2020-05-31 00:00:00,AAPL,Neutral,0.9810912609100342,0.0,Stock Movement,AAPL,,0.5
4078,Covered Call Backtest,2020-05-31 00:00:00,AAPL,Neutral,0.9974563717842102,0.0,Legal and Regulation,AAPL,,0.5
4079,"A Confused Goldman No Longer Expects S&P To Drop To 2,400 But Sees No Market Upside Either",2020-05-30 00:00:00,AAPL,Neutral,0.9991412162780762,0.0,Analyst Rating,AAPL,,0.5
4080,Market Breaks Above 200-DMA - Is The Bull Back?,2020-05-30 00:00:00,AAPL,Neutral,0.986125648021698,0.0,Stock Movement,AAPL,,0.5
4081,Market Setup With Phenomenal Risk/Reward,2020-05-30 00:00:00,AAPL,Neutral,0.9845474362373352,0.0,Macroeconomic,AAPL,,0.5
4082,"The ""Smart Money"" Continues To Sell Stocks And Buy Gold, As Retail Investors Go Berserk",2020-05-30 00:00:00,AAPL,Neutral,0.9949536919593811,0.0,Stock Movement,AAPL,,0.5
