,Total Return,Max Drawdown,Annualized Vol,Sharpe,Worst Day,Final Value,Period
Event-Linked GNN-SAC (Ours),-0.10259812654382109,-0.26231547832461085,0.7497668166923888,-0.7707570940636401,-0.09981796414189448,89740.187345617891,COVID-19
Mean-Variance,-0.29662858188317376,-0.373521889709602,0.7721668714042909,-3.1903948967478892,-0.11029854662342908,70337.14181168262,COVID-19
Risk Parity,-0.22655982744034586,-0.3302159522085161,0.7950157978980812,-2.1475875475992905,-0.11029854662342908,77344.01725596542,COVID-19
Equal Weight,-0.18555077205617654,-0.3378290873767482,0.8458612873151514,-1.4929986289407786,-0.11580932213699646,81444.92279438235,COVID-19
Buy-and-Hold,-0.18590459721610686,-0.32600986079818384,0.8066403354383666,-1.6085721200684682,-0.11032952225372528,81409.54027838928,COVID-19
Event-Linked GNN-SAC (Ours),-0.10971832456891204,-0.11581493627845312,0.26003874019048484,-3.4015628739504218,-0.034739547769461754,89028.167543108796,China_2015
Mean-Variance,-0.08623216265976075,-0.11816662624481888,0.2639576509780472,-2.5584761965321166,-0.03727279629489133,91376.78373402392,China_2015
Risk Parity,-0.07831677960032557,-0.11816662624481888,0.2686748310494736,-2.257039069370529,-0.03727279629489133,92168.32203996745,China_2015
Equal Weight,-0.09200511433286152,-0.1179436567358596,0.26663252570797547,-2.7170669539485566,-0.03734772780208773,90799.48856671384,China_2015
Buy-and-Hold,-0.0923796732000074,-0.1180969513172897,0.26598565634585203,-2.7364775815838778,-0.03730452803564255,90762.03267999922,China_2015
Event-Linked GNN-SAC (Ours),-0.07302485961537842,-0.10101837295463821,0.23257967085550463,-2.4519384756201847,-0.04161319267026964,92697.514038462158,Volpocalypse_2018
Mean-Variance,-0.010034841298541708,-0.10399229621098116,0.23573337973919747,-0.22142656316780948,-0.04201090238032801,98996.51587014583,Volpocalypse_2018
Risk Parity,-0.061235446362285284,-0.10399229621098116,0.2260432061448411,-2.088591028748484,-0.04201090238032801,93876.45536377147,Volpocalypse_2018
Equal Weight,-0.05442942533134776,-0.09628706120719177,0.22622649202151848,-1.835723721571413,-0.04192333680127902,94557.05746686523,Volpocalypse_2018
Buy-and-Hold,-0.05383237872288449,-0.09659829576368872,0.226908194031547,-1.80767362629926,-0.04199695981475393,94616.76212771151,Volpocalypse_2018
