Event_Driven,Static_Graph,LSTM_SAC,Mean_Variance,Buy_and_Hold
100000.0,100000.0,100000.0,100000.0,100000.0
98533.37797479218,99043.29748982347,99393.38147249943,99140.95792098956,99826.43571896192
99435.51860242565,99659.66856030437,99874.80089794687,99144.66856317729,101086.38252381356
98656.35245115892,98814.86445906873,98630.60469030662,97967.67015096554,99902.8966823781
98779.63886305082,101311.29848690263,100728.6292863701,99442.65042058122,101296.1334879506
99107.65532902528,102124.8915306058,100964.43248232189,98727.4873129154,101391.61698371425
100173.4434119653,101808.34563650537,100465.48009285358,98578.52298379902,101159.47621366248
100870.56173962,102091.56992611931,101062.08776412823,99204.27158455447,101831.51003382703
100009.77452049789,102453.18919016182,101761.34488821684,100634.59114998973,102168.01992065288
100542.8812312622,102986.43877854632,101917.8752929547,101372.08460974577,102716.20866567217
100870.90023366403,103802.89751262595,102142.26143841709,103070.52799777701,102989.46390353079
101280.82100693848,104204.3279199474,101961.52610575674,102042.52051426722,102969.09033180059
100706.76015335116,103927.75036596379,101311.34259353102,98667.91754102016,102454.15396893874
103453.60144380842,104938.85408418036,101831.81890963046,99025.48912000848,103373.58955640266
97878.51894667004,105790.89578735079,102822.55998942856,101290.1113369,103570.12447630444
97386.48618402601,106376.6095612504,102721.04421769278,99077.63095763187,103097.2015889491
96976.50994020827,106099.1001169535,102805.00721866959,100403.66684782035,102870.4569273269
98001.42891285227,106551.14379471556,103120.828441922,100358.9263448832,103155.91977692532
97755.5036380514,106362.80165044528,102884.82825693506,100008.83589933785,103097.90209073882
97181.5854788831,106205.38825257866,102675.64256328087,99941.7650443105,102986.71919704134
96566.5014249133,106158.98329131045,102125.62562321543,98332.68296401846,102544.39557832456
97345.46022042431,106125.19382313613,101940.23381110105,97960.2422166937,102590.18483390978
99477.00656474962,104338.28748569358,100969.7891346054,98876.48489151374,102123.14150861258
101773.03968050709,104891.01938811645,102098.66570527098,100701.60880584594,103658.75900415574
102224.08063906364,105318.54895777332,102199.72428677251,100329.13480903923,104057.50480275242
101772.99606116989,104922.60767626457,101530.00751784958,99599.12248272615,103701.83233744567
100133.04938373403,104346.31240579882,100602.92969139088,98749.85756438396,102566.26682502821
